index,type,type,name,usage(KB),total(KB)
1,  string,string,,6.6,6.6
2,  xmodel,xmodel,com_scaffold_red,26.2,26.5
3,  xmodel,xmodel,com_cinderblockstack,59.8,59.9
4,  xmodel,xmodel,com_constructionrailingendleft,12.9,13.2
5,  xmodel,xmodel,com_constructionrailingendright,12.8,12.8
6,  xmodel,xmodel,com_constructionrailinglong,31.0,31.0
7,  xmodel,xmodel,com_constructionrailingcornerbendout,18.5,18.5
8,  xmodel,xmodel,com_constructionrailingmedium,16.4,16.4
9,  xmodel,xmodel,com_constructionrailingshort,9.3,9.3
10,  xmodel,xmodel,com_fire_light,17.1,17.2
11,  xmodel,xmodel,com_fire_extinguisher,48.3,48.6
12,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.8,2.8
13,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
14,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.4,2.4
15,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
16,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
17,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
18,  xmodel,xmodel,com_floodlight_on,246.9,248.0
19,  xmodel,xmodel,com_steel_ladder,41.6,41.9
20,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
21,  xmodel,xmodel,me_lightfluohang,38.6,38.9
22,  xmodel,xmodel,me_fanceil1,26.9,27.1
23,  techset,techset,sm2/mc_l_sm_t0c0n0s0,35.4,35.4
24,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
25,  techset,techset,mc_l_sm_t0c0n0s0,58.2,58.2
26,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
27,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
28,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
29,  xmodel,xmodel,com_restaurantstainlessteelshelf_02,63.7,64.0
30,  xmodel,xmodel,me_corrugated_metal8x8,44.9,45.2
31,  xmodel,xmodel,me_corrugated_metal2x8,13.5,13.6
32,  xmodel,xmodel,com_ex_airconditioner,45.5,45.8
33,  xmodel,xmodel,me_canopy_3x4_1,18.2,18.3
34,  xmodel,xmodel,me_corrugated_metal4x4,23.5,23.5
35,  xmodel,xmodel,me_sign_shakar,8.2,8.5
36,  xmodel,xmodel,me_ac_big,4.3,4.6
37,  xmodel,xmodel,me_canopy_3x4_2,14.9,14.9
38,  xmodel,xmodel,me_balcony_01,145.3,145.8
39,  xmodel,xmodel,me_canopy_04,23.2,23.7
40,  xmodel,xmodel,me_electricbox2,15.4,15.7
41,  xmodel,xmodel,me_satellitedish,99.8,100.1
42,  xmodel,xmodel,me_antenna,44.5,44.8
43,  xmodel,xmodel,me_corrugated_metal4x8,21.9,21.9
44,  xmodel,xmodel,me_canopy_large2,90.9,91.1
45,  techset,techset,sm2/mc_ambient_t0c0,13.0,13.0
46,  techset,techset,mc_ambient_t0c0,12.9,12.9
47,  xmodel,xmodel,foliage_bush_big,33.5,33.6
48,  xmodel,xmodel,com_plastic_bucket,57.9,58.4
49,  xmodel,xmodel,me_market_umbrella_3,38.4,38.9
50,  xmodel,xmodel,me_canopy_large1,49.7,49.7
51,  xmodel,xmodel,me_lightfluohang_on,32.5,32.6
52,  xmodel,xmodel,me_electricbox4,12.3,12.5
53,  xmodel,xmodel,ch_mattress_boxspring,22.6,22.8
54,  xmodel,xmodel,com_restaurantceilinglamp_off,53.8,54.1
55,  xmodel,xmodel,vehicle_80s_sedan1_silv_door_lf,16.5,16.8
56,  xmodel,xmodel,vehicle_80s_sedan1_yel_door_lf,4.8,5.0
57,  xmodel,xmodel,vehicle_80s_wagon1_tan_door_rf,19.4,19.6
