index,zone,type,type,name,usage(KB),total(KB)
1,mp_tabuk,  string,string,,6.6,6.6
2,mp_tabuk,  xmodel,xmodel,com_scaffold_red,26.2,26.5
3,mp_tabuk,  xmodel,xmodel,com_cinderblockstack,59.8,59.9
4,mp_tabuk,  xmodel,xmodel,com_constructionrailingendleft,12.9,13.2
5,mp_tabuk,  xmodel,xmodel,com_constructionrailingendright,12.8,12.8
6,mp_tabuk,  xmodel,xmodel,com_constructionrailinglong,31.0,31.0
7,mp_tabuk,  xmodel,xmodel,com_constructionrailingcornerbendout,18.5,18.5
8,mp_tabuk,  xmodel,xmodel,com_constructionrailingmedium,16.4,16.4
9,mp_tabuk,  xmodel,xmodel,com_constructionrailingshort,9.3,9.3
10,mp_tabuk,  xmodel,xmodel,com_fire_light,17.1,17.2
11,mp_tabuk,  xmodel,xmodel,com_fire_extinguisher,48.3,48.6
12,mp_tabuk,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.8,2.8
13,mp_tabuk,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
14,mp_tabuk,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.4,2.4
15,mp_tabuk,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
16,mp_tabuk,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
17,mp_tabuk,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
18,mp_tabuk,  xmodel,xmodel,com_floodlight_on,246.9,248.0
19,mp_tabuk,  xmodel,xmodel,com_steel_ladder,41.6,41.9
20,mp_tabuk,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
21,mp_tabuk,  xmodel,xmodel,me_lightfluohang,38.6,38.9
22,mp_tabuk,  xmodel,xmodel,me_fanceil1,26.9,27.1
23,mp_tabuk,  techset,techset,sm2/mc_l_sm_t0c0n0s0,35.4,35.4
24,mp_tabuk,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
25,mp_tabuk,  techset,techset,mc_l_sm_t0c0n0s0,58.2,58.2
26,mp_tabuk,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
27,mp_tabuk,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
28,mp_tabuk,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
29,mp_tabuk,  xmodel,xmodel,com_restaurantstainlessteelshelf_02,63.7,64.0
30,mp_tabuk,  xmodel,xmodel,me_corrugated_metal8x8,44.9,45.2
31,mp_tabuk,  xmodel,xmodel,me_corrugated_metal2x8,13.5,13.6
32,mp_tabuk,  xmodel,xmodel,com_ex_airconditioner,45.5,45.8
33,mp_tabuk,  xmodel,xmodel,me_canopy_3x4_1,18.2,18.3
34,mp_tabuk,  xmodel,xmodel,me_corrugated_metal4x4,23.5,23.5
35,mp_tabuk,  xmodel,xmodel,me_sign_shakar,8.2,8.5
36,mp_tabuk,  xmodel,xmodel,me_ac_big,4.3,4.6
37,mp_tabuk,  xmodel,xmodel,me_canopy_3x4_2,14.9,14.9
38,mp_tabuk,  xmodel,xmodel,me_balcony_01,145.3,145.8
39,mp_tabuk,  xmodel,xmodel,me_canopy_04,23.2,23.7
40,mp_tabuk,  xmodel,xmodel,me_electricbox2,15.4,15.7
41,mp_tabuk,  xmodel,xmodel,me_satellitedish,99.8,100.1
42,mp_tabuk,  xmodel,xmodel,me_antenna,44.5,44.8
43,mp_tabuk,  xmodel,xmodel,me_corrugated_metal4x8,21.9,21.9
44,mp_tabuk,  xmodel,xmodel,me_canopy_large2,90.9,91.1
45,mp_tabuk,  techset,techset,sm2/mc_ambient_t0c0,13.0,13.0
46,mp_tabuk,  techset,techset,mc_ambient_t0c0,12.9,12.9
47,mp_tabuk,  xmodel,xmodel,foliage_bush_big,33.5,33.6
48,mp_tabuk,  xmodel,xmodel,com_plastic_bucket,57.9,58.4
49,mp_tabuk,  xmodel,xmodel,me_market_umbrella_3,38.4,38.9
50,mp_tabuk,  xmodel,xmodel,me_canopy_large1,49.7,49.7
51,mp_tabuk,  xmodel,xmodel,me_lightfluohang_on,32.5,32.6
52,mp_tabuk,  xmodel,xmodel,me_electricbox4,12.3,12.5
53,mp_tabuk,  xmodel,xmodel,ch_mattress_boxspring,22.6,22.8
54,mp_tabuk,  xmodel,xmodel,com_restaurantceilinglamp_off,53.8,54.1
55,mp_tabuk,  xmodel,xmodel,vehicle_80s_sedan1_silv_door_lf,16.5,16.8
56,mp_tabuk,  xmodel,xmodel,vehicle_80s_sedan1_yel_door_lf,4.8,5.0
57,mp_tabuk,  xmodel,xmodel,vehicle_80s_wagon1_tan_door_rf,19.4,19.6
58,mp_tabuk,  xmodel,xmodel,me_electricbox1,11.4,11.7
59,mp_tabuk,  xmodel,xmodel,com_electrical_pipe,9.1,9.4
60,mp_tabuk,  xmodel,xmodel,bog_b_cinderblock_clutter,8.6,8.9
61,mp_tabuk,  xmodel,xmodel,ch_industrial_lamp_wall_off,33.6,33.8
62,mp_tabuk,  xmodel,xmodel,com_floodlight,240.4,240.4
63,mp_tabuk,  xmodel,xmodel,me_antenna2,48.8,48.8
64,mp_tabuk,  xmodel,xmodel,com_newspaperbox_red,47.7,48.0
65,mp_tabuk,  xmodel,xmodel,com_outdoor_switch,4.1,4.4
66,mp_tabuk,  xmodel,xmodel,ch_bedframemetal_gray,53.3,53.6
67,mp_tabuk,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
68,mp_tabuk,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
69,mp_tabuk,  xmodel,xmodel,com_lightbox_on,75.4,76.0
70,mp_tabuk,  xmodel,xmodel,vehicle_80s_sedan1_tandest,212.0,212.5
71,mp_tabuk,  xmodel,xmodel,vehicle_80s_sedan1_green,495.2,496.4
72,mp_tabuk,  xmodel,xmodel,vehicle_semi_truck_cargo,1294.8,1295.8
73,mp_tabuk,  xmodel,xmodel,me_cargocontainersingleface,636.2,636.8
74,mp_tabuk,  xmodel,xmodel,vehicle_pickup_roobars,672.2,672.9
75,mp_tabuk,  xmodel,xmodel,vehicle_bulldozer,950.2,950.7
76,mp_tabuk,  xmodel,xmodel,me_ac_window,6.9,7.1
77,mp_tabuk,  xmodel,xmodel,foliage_grass_short_squareclump,1.3,1.4
78,mp_tabuk,  xmodel,xmodel,mil_hedgehog,108.9,109.2
79,mp_tabuk,  xmodel,xmodel,me_antenna3,47.0,47.0
80,mp_tabuk,  xmodel,xmodel,foliage_shrub_brownmid,1.0,1.1
81,mp_tabuk,  techset,techset,sm2/mc_l_t0c0,14.2,14.2
82,mp_tabuk,  techset,techset,mc_l_t0c0,14.3,14.3
83,mp_tabuk,  techset,techset,mc_l_t0c0s0,19.5,19.5
84,mp_tabuk,  techset,techset,sm2/mc_l_r0c0n0s0,15.5,15.5
85,mp_tabuk,  techset,techset,sm2/mc_l_r0c0,9.7,9.7
86,mp_tabuk,  techset,techset,mc_l_r0c0n0s0,19.2,19.2
87,mp_tabuk,  techset,techset,mc_l_r0c0,9.3,9.3
88,mp_tabuk,  techset,techset,mc_l_r0c0s0,12.3,12.3
89,mp_tabuk,  techset,techset,mc_l_r0c0n0,9.2,9.2
90,mp_tabuk,  xmodel,xmodel,foliage_tree_palm_bushy_3_static,213.3,213.8
91,mp_tabuk,  xmodel,xmodel,me_brick_wall_dest,21.4,21.6
92,mp_tabuk,  xmodel,xmodel,me_brickwallvert_dest2,19.6,19.6
93,mp_tabuk,  xmodel,xmodel,me_brick_wall_dest2,22.4,22.4
94,mp_tabuk,  xmodel,xmodel,me_brickwallvert_dest,24.0,24.0
95,mp_tabuk,  xmodel,xmodel,me_canopy_2x4_1,29.0,29.0
96,mp_tabuk,  xmodel,xmodel,me_canopy_folded_01,58.9,59.2
97,mp_tabuk,  xmodel,xmodel,me_corrugated_metal2x4,12.5,12.5
98,mp_tabuk,  xmodel,xmodel,com_cafe_wall_light_off,15.8,16.0
99,mp_tabuk,  xmodel,xmodel,me_market_canopy7,10.1,10.6
100,mp_tabuk,  xmodel,xmodel,me_canopy_2x4_3,44.1,44.1
101,mp_tabuk,  xmodel,xmodel,me_electricbox3,8.4,8.4
102,mp_tabuk,  xmodel,xmodel,com_lightbox,65.2,65.3
103,mp_tabuk,  xmodel,xmodel,com_electrical_pipe_elbow,5.7,5.7
104,mp_tabuk,  xmodel,xmodel,ch_furniture_couch02,97.3,97.6
105,mp_tabuk,  xmodel,xmodel,me_canopy_2x4_2,30.7,30.7
106,mp_tabuk,  xmodel,xmodel,me_canopy_large1_dmgleft,50.3,50.3
107,mp_tabuk,  xmodel,xmodel,com_barrel_piece2,67.8,67.9
108,mp_tabuk,  xmodel,xmodel,ch_furniture_couch01,64.2,64.2
109,mp_tabuk,  xmodel,xmodel,ch_russian_table,58.4,58.7
110,mp_tabuk,  xmodel,xmodel,me_canopy_large3,91.4,91.4
