index,type,type,name,usage(KB),total(KB)
1,  string,string,,4.6,4.6
2,  xmodel,xmodel,com_office_book_black_open,17.5,17.8
3,  xmodel,xmodel,com_office_chair_black,189.8,190.1
4,  xmodel,xmodel,com_office_book_red_flat,19.3,19.3
5,  xmodel,xmodel,com_office_chair,30.5,30.7
6,  xmodel,xmodel,com_cafe_table2,19.2,19.7
7,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
8,  xmodel,xmodel,com_security_camera,94.1,94.2
9,  xmodel,xmodel,com_doorknob3,14.9,15.2
10,  xmodel,xmodel,com_photocopier,30.2,30.5
11,  xmodel,xmodel,com_restaurantceilinglamp_on,54.1,54.5
12,  xmodel,xmodel,me_window_bars_01,23.7,24.0
13,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
14,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
15,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
16,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
17,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
18,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
19,  xmodel,xmodel,me_roof_sign_01,73.4,74.2
20,  techset,techset,sm2/mc_ambient_t0c0,13.1,13.1
21,  techset,techset,mc_ambient_t0c0,12.9,12.9
22,  xmodel,xmodel,foliage_litegrass_squareclump,1.2,1.4
23,  xmodel,xmodel,me_window_bars_04,18.0,18.3
24,  xmodel,xmodel,vehicle_semi_truck_cargo,1294.8,1295.8
25,  xmodel,xmodel,me_cargocontainersingleface,636.2,636.8
26,  xmodel,xmodel,vehicle_80s_wagon1_tan,499.1,499.6
27,  xmodel,xmodel,vehicle_80s_wagon1_yel,163.3,163.5
28,  xmodel,xmodel,vehicle_luxurysedan_static,890.7,891.7
29,  xmodel,xmodel,vehicle_80s_hatch1_green,472.6,473.4
30,  xmodel,xmodel,vehicle_80s_wagon1_brn,163.3,163.5
31,  xmodel,xmodel,vehicle_80s_sedan1_green,495.2,495.7
32,  xmodel,xmodel,vehicle_80s_hatch1_brn,158.1,158.1
33,  xmodel,xmodel,vehicle_80s_hatch1_red,158.9,159.1
34,  xmodel,xmodel,vehicle_pickup_roobars,672.2,672.9
35,  xmodel,xmodel,com_copypaper_package3,3.5,3.8
36,  xmodel,xmodel,com_copypaper_box_open,9.0,9.1
37,  xmodel,xmodel,com_pallet,41.5,41.7
38,  xmodel,xmodel,com_widescreen_monitor,26.4,26.7
39,  xmodel,xmodel,vehicle_blackhawk_static,820.9,821.7
40,  techset,techset,sm2/mc_l_sm_r0c0d0n0,21.2,21.2
41,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,12.0,12.0
42,  techset,techset,mc_l_sm_r0c0d0n0,30.8,30.8
43,  techset,techset,mc_l_hsm_r0c0d0n0,14.3,14.3
44,  xmodel,xmodel,com_ladder_wood,16.7,16.9
45,  xmodel,xmodel,com_steel_ladder_top,35.3,35.6
46,  xmodel,xmodel,com_steel_ladder,41.6,41.6
47,  xmodel,xmodel,com_computer_case,9.5,9.8
48,  xmodel,xmodel,com_computer_keyboard,12.9,13.2
49,  xmodel,xmodel,com_computer_monitor,23.9,23.9
50,  xmodel,xmodel,com_computer_mouse,12.7,12.7
51,  xmodel,xmodel,com_office_lamp02,29.6,29.7
52,  techset,techset,sm2/wc_l_sm_r0c0n0s0,16.9,16.9
53,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
54,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
55,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
56,  techset,techset,wc_l_sm_r0c0n0s0,29.3,29.3
57,  techset,techset,wc_l_sm_r0c0,18.2,18.2
58,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
59,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
60,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
61,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
62,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
63,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
64,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.5,9.5
65,  techset,techset,sm2/wc_l_sm_t0c0,6.2,6.2
66,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
67,  techset,techset,sm2/wc_l_hsm_t0c0n0,5.2,5.2
68,  techset,techset,wc_l_sm_t0c0n0s0,19.1,19.1
69,  techset,techset,wc_l_sm_t0c0,11.8,11.8
70,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
71,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
72,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
73,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
74,  techset,techset,wc_l_hsm_t0c0n0,6.8,6.8
75,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
76,  gfx_map,gfx_map,maps/mp/mp_tlacaren.d3dbsp,4176.0,4186.2
77,    map_ents,map_ents,maps/mp/mp_tlacaren.d3dbsp,7.8,7.8
78,  col_map_sp,col_map_sp,maps/mp/mp_tlacaren.d3dbsp,1106.8,1114.5
79,  impactfx,impactfx,,1.5,1.5
80,  sound,sound,artillery_explosion,1.2,1.2
81,  sound,sound,elm_metal_rattle,1.2,1.2
82,  sound,sound,mortar_incoming,1.6,1.6
83,  sound,sound,generic_death_arab_4,1.1,1.1
84,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
85,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
86,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
87,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
88,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
89,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
90,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
91,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
92,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
93,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
94,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
95,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
96,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
97,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
98,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
99,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
100,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
101,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
102,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
103,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
104,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
105,  fx,fx,fire/firelp_vhc_med_pm_nodlight,7.7,7.8
106,assetlist,assetlist,,3.8,18856.3
107,material,material,(misc),20.9,20.9
108,techset,techset,(misc),5.5,5.5
109,image,image,(misc),8.2,8.2
110,sound,sound,(misc),35.5,35.5
111,loaded_sound,loaded_sound,(misc),2.5,2.5
112,fx,fx,(misc),3.1,3.1
113,rawfile,rawfile,(misc),2.5,2.5
