index,zone,type,type,name,usage(KB),total(KB)
1,mp_tlacaren,  string,string,,4.6,4.6
2,mp_tlacaren,  xmodel,xmodel,com_office_book_black_open,17.5,17.8
3,mp_tlacaren,  xmodel,xmodel,com_office_chair_black,189.8,190.1
4,mp_tlacaren,  xmodel,xmodel,com_office_book_red_flat,19.3,19.3
5,mp_tlacaren,  xmodel,xmodel,com_office_chair,30.5,30.7
6,mp_tlacaren,  xmodel,xmodel,com_cafe_table2,19.2,19.7
7,mp_tlacaren,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
8,mp_tlacaren,  xmodel,xmodel,com_security_camera,94.1,94.2
9,mp_tlacaren,  xmodel,xmodel,com_doorknob3,14.9,15.2
10,mp_tlacaren,  xmodel,xmodel,com_photocopier,30.2,30.5
11,mp_tlacaren,  xmodel,xmodel,com_restaurantceilinglamp_on,54.1,54.5
12,mp_tlacaren,  xmodel,xmodel,me_window_bars_01,23.7,24.0
13,mp_tlacaren,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
14,mp_tlacaren,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
15,mp_tlacaren,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
16,mp_tlacaren,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
17,mp_tlacaren,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
18,mp_tlacaren,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
19,mp_tlacaren,  xmodel,xmodel,me_roof_sign_01,73.4,74.2
20,mp_tlacaren,  techset,techset,sm2/mc_ambient_t0c0,13.1,13.1
21,mp_tlacaren,  techset,techset,mc_ambient_t0c0,12.9,12.9
22,mp_tlacaren,  xmodel,xmodel,foliage_litegrass_squareclump,1.2,1.4
23,mp_tlacaren,  xmodel,xmodel,me_window_bars_04,18.0,18.3
24,mp_tlacaren,  xmodel,xmodel,vehicle_semi_truck_cargo,1294.8,1295.8
25,mp_tlacaren,  xmodel,xmodel,me_cargocontainersingleface,636.2,636.8
26,mp_tlacaren,  xmodel,xmodel,vehicle_80s_wagon1_tan,499.1,499.6
27,mp_tlacaren,  xmodel,xmodel,vehicle_80s_wagon1_yel,163.3,163.5
28,mp_tlacaren,  xmodel,xmodel,vehicle_luxurysedan_static,890.7,891.7
29,mp_tlacaren,  xmodel,xmodel,vehicle_80s_hatch1_green,472.6,473.4
30,mp_tlacaren,  xmodel,xmodel,vehicle_80s_wagon1_brn,163.3,163.5
31,mp_tlacaren,  xmodel,xmodel,vehicle_80s_sedan1_green,495.2,495.7
32,mp_tlacaren,  xmodel,xmodel,vehicle_80s_hatch1_brn,158.1,158.1
33,mp_tlacaren,  xmodel,xmodel,vehicle_80s_hatch1_red,158.9,159.1
34,mp_tlacaren,  xmodel,xmodel,vehicle_pickup_roobars,672.2,672.9
35,mp_tlacaren,  xmodel,xmodel,com_copypaper_package3,3.5,3.8
36,mp_tlacaren,  xmodel,xmodel,com_copypaper_box_open,9.0,9.1
37,mp_tlacaren,  xmodel,xmodel,com_pallet,41.5,41.7
38,mp_tlacaren,  xmodel,xmodel,com_widescreen_monitor,26.4,26.7
39,mp_tlacaren,  xmodel,xmodel,vehicle_blackhawk_static,820.9,821.7
40,mp_tlacaren,  techset,techset,sm2/mc_l_sm_r0c0d0n0,21.2,21.2
41,mp_tlacaren,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,12.0,12.0
42,mp_tlacaren,  techset,techset,mc_l_sm_r0c0d0n0,30.8,30.8
43,mp_tlacaren,  techset,techset,mc_l_hsm_r0c0d0n0,14.3,14.3
44,mp_tlacaren,  xmodel,xmodel,com_ladder_wood,16.7,16.9
45,mp_tlacaren,  xmodel,xmodel,com_steel_ladder_top,35.3,35.6
46,mp_tlacaren,  xmodel,xmodel,com_steel_ladder,41.6,41.6
47,mp_tlacaren,  xmodel,xmodel,com_computer_case,9.5,9.8
48,mp_tlacaren,  xmodel,xmodel,com_computer_keyboard,12.9,13.2
49,mp_tlacaren,  xmodel,xmodel,com_computer_monitor,23.9,23.9
50,mp_tlacaren,  xmodel,xmodel,com_computer_mouse,12.7,12.7
51,mp_tlacaren,  xmodel,xmodel,com_office_lamp02,29.6,29.7
52,mp_tlacaren,  techset,techset,sm2/wc_l_sm_r0c0n0s0,16.9,16.9
53,mp_tlacaren,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
54,mp_tlacaren,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
55,mp_tlacaren,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
56,mp_tlacaren,  techset,techset,wc_l_sm_r0c0n0s0,29.3,29.3
57,mp_tlacaren,  techset,techset,wc_l_sm_r0c0,18.2,18.2
58,mp_tlacaren,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
59,mp_tlacaren,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
60,mp_tlacaren,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
61,mp_tlacaren,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
62,mp_tlacaren,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
63,mp_tlacaren,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
64,mp_tlacaren,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.5,9.5
65,mp_tlacaren,  techset,techset,sm2/wc_l_sm_t0c0,6.2,6.2
66,mp_tlacaren,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
67,mp_tlacaren,  techset,techset,sm2/wc_l_hsm_t0c0n0,5.2,5.2
68,mp_tlacaren,  techset,techset,wc_l_sm_t0c0n0s0,19.1,19.1
69,mp_tlacaren,  techset,techset,wc_l_sm_t0c0,11.8,11.8
70,mp_tlacaren,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
71,mp_tlacaren,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
72,mp_tlacaren,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
73,mp_tlacaren,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
74,mp_tlacaren,  techset,techset,wc_l_hsm_t0c0n0,6.8,6.8
75,mp_tlacaren,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
76,mp_tlacaren,  gfx_map,gfx_map,maps/mp/mp_tlacaren.d3dbsp,4176.0,4186.2
77,mp_tlacaren,    map_ents,map_ents,maps/mp/mp_tlacaren.d3dbsp,7.8,7.8
78,mp_tlacaren,  col_map_sp,col_map_sp,maps/mp/mp_tlacaren.d3dbsp,1106.8,1114.5
79,mp_tlacaren,  impactfx,impactfx,,1.5,1.5
80,mp_tlacaren,  sound,sound,artillery_explosion,1.2,1.2
81,mp_tlacaren,  sound,sound,elm_metal_rattle,1.2,1.2
82,mp_tlacaren,  sound,sound,mortar_incoming,1.6,1.6
83,mp_tlacaren,  sound,sound,generic_death_arab_4,1.1,1.1
84,mp_tlacaren,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
85,mp_tlacaren,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
86,mp_tlacaren,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
