index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.5,2.5
2,  xmodel,xmodel,com_water_tank2_ladder,13.4,13.6
3,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
4,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
5,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
6,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
7,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
8,  techset,techset,wc_l_sm_r0c0,18.2,18.2
9,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
10,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
11,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
12,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
13,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
14,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
15,  gfx_map,gfx_map,maps/mp/mp_ze_demo.d3dbsp,749.6,752.1
16,    map_ents,map_ents,maps/mp/mp_ze_demo.d3dbsp,16.7,16.7
17,  col_map_sp,col_map_sp,maps/mp/mp_ze_demo.d3dbsp,167.1,183.8
18,  impactfx,impactfx,,1.5,1.5
19,  sound,sound,artillery_explosion,1.2,1.2
20,  sound,sound,elm_metal_rattle,1.2,1.2
21,  sound,sound,mortar_incoming,1.6,1.6
22,  sound,sound,generic_death_arab_4,1.1,1.1
23,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
24,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
25,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
26,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.1
27,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
28,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
29,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
30,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
31,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
32,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
33,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
34,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
35,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
36,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
37,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
38,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
39,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
40,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
41,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
42,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
43,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
44,assetlist,assetlist,,3.0,6770.4
45,material,material,(misc),5.7,5.7
46,techset,techset,(misc),2.8,2.8
47,image,image,(misc),3.1,3.1
48,sound,sound,(misc),35.5,35.5
49,loaded_sound,loaded_sound,(misc),2.5,2.5
50,fx,fx,(misc),3.1,3.1
51,rawfile,rawfile,(misc),1.1,1.1
