index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.7,2.7
2,  xmodel,xmodel,body_mp_usmc_cqb,593.5,595.2
3,  xmodel,xmodel,cs_cargoship_wall_light_red_on,20.2,20.6
4,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.8,2.8
5,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
6,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.4,2.4
7,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
8,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
9,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
10,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
11,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
12,  xmodel,xmodel,ch_industrial_lamp_on,33.2,34.3
13,  xmodel,xmodel,com_wooden_pallet,15.7,16.0
14,  xmodel,xmodel,com_barrel_black_rust,43.1,43.4
15,  xmodel,xmodel,com_barrel_tan,12.9,13.2
16,  xmodel,xmodel,com_barrel_corrosive_rust,45.2,45.5
17,  xmodel,xmodel,ch_crate32x48,59.8,60.0
18,  xmodel,xmodel,ch_crate48x64,62.3,62.3
19,  xmodel,xmodel,com_pallet,41.5,41.7
20,  xmodel,xmodel,com_pallet_stack,228.9,228.9
21,  xmodel,xmodel,4gf_logo_petx,424.4,424.8
22,  xmodel,xmodel,4gf_logo,513.5,513.5
23,  xmodel,xmodel,icbm_elevatorswitch,7.4,7.7
24,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.6,20.6
25,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
26,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
27,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
28,  techset,techset,wc_l_sm_r0c0n0s0,32.5,32.5
29,  techset,techset,wc_l_sm_r0c0,18.2,18.2
30,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
31,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
32,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
33,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
34,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
35,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
36,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.7,12.7
37,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
38,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
39,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
40,  techset,techset,wc_l_sm_t0c0n0s0,23.7,23.7
41,  techset,techset,wc_l_sm_t0c0,13.4,13.4
42,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
43,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
44,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
45,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
46,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
47,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
48,  techset,techset,sm2/wc_water,2.6,2.6
49,  techset,techset,wc_water,2.5,2.5
50,    material,material,wc/coup_water,48.2,48.2
51,  gfx_map,gfx_map,maps/mp/mp_ze_factory.d3dbsp,1120.8,1171.6
52,    map_ents,map_ents,maps/mp/mp_ze_factory.d3dbsp,10.7,10.7
53,  col_map_sp,col_map_sp,maps/mp/mp_ze_factory.d3dbsp,117.0,127.7
54,  impactfx,impactfx,,1.5,1.5
