index,zone,type,type,name,usage(KB),total(KB)
1,mp_ze_icecap,  string,string,,2.4,2.4
2,mp_ze_icecap,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,22.1,22.1
3,mp_ze_icecap,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
4,mp_ze_icecap,  techset,techset,sm2/wc_l_sm_r0c0n0,13.1,13.1
5,mp_ze_icecap,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
6,mp_ze_icecap,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
7,mp_ze_icecap,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
8,mp_ze_icecap,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
9,mp_ze_icecap,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
10,mp_ze_icecap,  techset,techset,wc_l_sm_r0c0d0n0s0,34.4,34.4
11,mp_ze_icecap,  techset,techset,wc_l_sm_r0c0,18.3,18.3
12,mp_ze_icecap,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
13,mp_ze_icecap,  techset,techset,wc_l_sm_r0c0n0,19.7,19.7
14,mp_ze_icecap,  techset,techset,wc_l_sm_r0c0n0s0,15.9,15.9
15,mp_ze_icecap,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
16,mp_ze_icecap,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
17,mp_ze_icecap,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
18,mp_ze_icecap,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
19,mp_ze_icecap,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
20,mp_ze_icecap,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
21,mp_ze_icecap,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
22,mp_ze_icecap,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
23,mp_ze_icecap,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
24,mp_ze_icecap,  techset,techset,wc_l_hsm_r0c0d0n0,8.5,8.5
25,mp_ze_icecap,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
26,mp_ze_icecap,  techset,techset,sm2/wc_water,3.0,3.0
27,mp_ze_icecap,  techset,techset,wc_water,2.9,2.9
28,mp_ze_icecap,    material,material,wc/coup_water,48.2,48.2
29,mp_ze_icecap,  gfx_map,gfx_map,maps/mp/mp_ze_icecap.d3dbsp,2040.3,2089.9
30,mp_ze_icecap,  col_map_sp,col_map_sp,maps/mp/mp_ze_icecap.d3dbsp,1138.7,1139.2
31,mp_ze_icecap,  impactfx,impactfx,,1.5,1.5
32,mp_ze_icecap,  sound,sound,artillery_explosion,1.2,1.2
33,mp_ze_icecap,  sound,sound,elm_metal_rattle,1.2,1.2
34,mp_ze_icecap,  sound,sound,mortar_incoming,1.6,1.6
35,mp_ze_icecap,  sound,sound,generic_death_arab_4,1.1,1.1
36,mp_ze_icecap,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
37,mp_ze_icecap,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
38,mp_ze_icecap,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
39,mp_ze_icecap,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
40,mp_ze_icecap,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
41,mp_ze_icecap,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
42,mp_ze_icecap,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
43,mp_ze_icecap,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
44,mp_ze_icecap,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
45,mp_ze_icecap,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
46,mp_ze_icecap,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
47,mp_ze_icecap,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
48,mp_ze_icecap,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
49,mp_ze_icecap,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
50,mp_ze_icecap,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
51,mp_ze_icecap,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
52,mp_ze_icecap,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
53,mp_ze_icecap,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
54,mp_ze_icecap,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
55,mp_ze_icecap,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
56,mp_ze_icecap,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
57,mp_ze_icecap,assetlist,assetlist,,3.1,9195.1
58,mp_ze_icecap,material,material,(misc),5.0,5.0
59,mp_ze_icecap,techset,techset,(misc),2.9,2.9
60,mp_ze_icecap,image,image,(misc),2.6,2.6
61,mp_ze_icecap,sound,sound,(misc),35.5,35.5
62,mp_ze_icecap,loaded_sound,loaded_sound,(misc),2.5,2.5
63,mp_ze_icecap,fx,fx,(misc),3.1,3.1
