physpreset,barrel_metal
xmodel,com_barrel_biohazard_rust
xmodel,com_barrel_blue
xmodel,com_lightbox_on
xmodel,mil_sandbag_desert_curved
material,mc/gfx_floodlight_beam_godray75
material,mc/gfx_floodlight_beam_godray85
material,mc/gfx_spotlight_lensflare_godray80
material,mc/mtl_barrel_blue
material,mc/mtl_barrel_white_rust
material,mc/mtl_biohazard2
material,mc/mtl_lightbox_on
material,mc/mtl_sandbags
material,wc/ch_door_14
material,wc/ch_factory_corrugatedsiding6
material,wc/ch_grass_02
material,wc/ch_metal_diamondplating
material,wc/ch_mud_track_01
material,wc/ch_trim_stainlessteel_1_wet
material,wc/icbm_greymetal
material,wc/me_glassdirt
material,wc/me_pinewood
material,wc/me_stonewall_01
material,wc/sky_mp_convoy
techset,mc_effect_falloff_add_nofog
techset,mc_effect_falloff_add_nofog_eyeoffset
techset,mc_effect_zfeather_falloff_add_nofog
techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset
techset,sm2/mc_effect_falloff_add_nofog
techset,sm2/mc_effect_falloff_add_nofog_eyeoffset
techset,sm2/mc_effect_zfeather_falloff_add_nofog
techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset
techset,sm2/wc_l_hsm_r0c0
techset,sm2/wc_l_hsm_r0c0n0
techset,sm2/wc_l_hsm_r0c0n0s0
techset,sm2/wc_l_hsm_r0c0s0
techset,sm2/wc_l_sm_r0c0
techset,sm2/wc_l_sm_r0c0n0
techset,sm2/wc_l_sm_r0c0n0s0
techset,sm2/wc_l_sm_r0c0s0
techset,sm2/wc_sky
techset,wc_l_hsm_r0c0
techset,wc_l_hsm_r0c0n0
techset,wc_l_hsm_r0c0n0s0
techset,wc_l_hsm_r0c0s0
techset,wc_l_sm_r0c0
techset,wc_l_sm_r0c0n0
techset,wc_l_sm_r0c0n0s0
techset,wc_l_sm_r0c0s0
techset,wc_sky
image,$outdoor
image,55_gallon_drum_blue
image,55_gallon_drum_bump
image,55_gallon_drum_white_rust
image,ch_door_14_col
image,ch_door_14_nml
image,ch_factory_corrugatedsiding2bump
image,ch_factory_corrugatedsiding6
image,ch_grass_02_col
image,ch_grass_02_nml
image,ch_metal_diamondplating_col
image,ch_metal_diamondplating_nml
image,ch_mud_track_col
image,ch_mud_track_n
image,ch_sandbag_normals
image,ch_sandbags_coler
image,ch_trim_stainlessteel_1_col
image,floodlight_beam
image,icbm_greymetal
image,lightbox_on_c
image,me_dirty_glass
image,me_pinewood_col
image,me_pinewood_norm
image,me_stonewall_01_col
image,me_stonewall_01_nml
image,mp_convoy_ft
image,rusty_barrel_bump
image,~$white-rgbl
image,~55_gallon_drum_spec-r-59g-59~bf714207
image,~ch_door_14_spc-r34g34b34&ch_~f97333bc
image,~ch_factory_corrugatedsiding2~cf794c83
image,~ch_grass_02_spc-rgb&ch_grass~3fc77e0f
image,~ch_metal_diamondplating_spc-~14cba073
image,~ch_mud_track_s-rgbl-11
image,~icbm_greymetal_spec-rgb&$white-l-11
image,~me_dirty_glass_spc-rgbl-11
image,~me_pinewood_spc-rgbl-11
image,~me_stonewall_01_spc-r-49g-49~35cfde9d
image,~rusty_barrel_spec-rgb&rusty_~96f69cf3
loaded_sound,doors/door_wd_kick02.wav
loaded_sound,explosions/exp_car_close01.wav
loaded_sound,explosions/exp_car_close02.wav
loaded_sound,explosions/exp_car_close03.wav
loaded_sound,explosions/exp_metal_armor_debris01.wav
loaded_sound,explosions/fire_vehicle_flame_up_medbig1.wav
loaded_sound,explosions/fire_vehicle_flame_up_medbig2.wav
loaded_sound,explosions/fire_vehicle_flame_up_medbig3.wav
loaded_sound,explosions/mrk_rockexplosion_layer1.wav
loaded_sound,explosions/mrk_rockexplosion_layer5.wav
loaded_sound,fire/fire_med_loop02_res.wav
loaded_sound,fire/fire_vehicle_small_loop1_res.wav
loaded_sound,misc/mrk_breathing_better10.wav
loaded_sound,misc/mrk_breathing_better11.wav
loaded_sound,misc/mrk_breathing_better12.wav
loaded_sound,misc/mrk_breathing_hurt10.wav
loaded_sound,misc/mrk_breathing_hurt11.wav
loaded_sound,misc/mrk_breathing_hurt12.wav
loaded_sound,misc/mrk_breathing_hurt13.wav
loaded_sound,misc/mrk_breathing_hurt14.wav
loaded_sound,misc/mrk_breathing_hurt15.wav
loaded_sound,misc/mrk_breathing_hurt16.wav
loaded_sound,user_interface/ui_computer_text_blip1x.wav
loaded_sound,user_interface/ui_computer_text_delete1.wav
loaded_sound,vehicles/truck_idle.wav
loaded_sound,vehicles/truck_move.wav
loaded_sound,vehicles/veh_hind_idle_v3res.wav
loaded_sound,vehicles/veh_hind_move_v3res.wav
loaded_sound,vehicles/veh_mi17_idle_v1res.wav
loaded_sound,vehicles/veh_mi17_move_v1res.wav
loaded_sound,vehicles/veh_pickup_idle_v2loop.wav
loaded_sound,vehicles/veh_pickup_move_v3loop.wav
loaded_sound,vehicles/veh_t72_move_v2loop.wav
loaded_sound,weapons/cal30/weap_30cal_cooldown_1.wav
loaded_sound,weapons/cal30/weap_30cal_loop_1.wav
com_map,maps/mp/mp_sgout_555.d3dbsp
game_map_mp,maps/mp/mp_sgout_555.d3dbsp
map_ents,maps/mp/mp_sgout_555.d3dbsp
gfx_map,maps/mp/mp_sgout_555.d3dbsp
impactfx,mp_sgout_555
